,2m_temperature_min
corr,0.991784320854275
rmse,3.6564297821156018
rmse_sigma1,4.604735657613571
rmse_sigma2,7.596924909826828
rmse_sigma3,13.13619600918195
ssim,0.9512625154780165
psnr,29.698769651153544
